	CH_OB1_01	CH_OB1_02	CH_OB1_03	CH_OB1_04	CH_OB1_05	CH_OB1_06	CH_OB2_01	CH_OB2_02	CH_OB2_03	CH_OB2_04	CH_OB2_05	CH_OB2_06	CH_OB3_01	CH_OB3_02	CH_OB3_03	CH_OB3_04	CH_OB3_05	CH_OB3_06	CP_OB4_01	CP_OB4_02	CP_OB4_03	CP_OB4_04	CP_OB4_05	CP_OB4_06
CH_OB1_01	0.0	2.47107803102985e-08	1.0536712127723509e-08	1.0536712127723509e-08	0.0	0.0	0.5951394391533011	0.5951394391533011	0.6845098279327024	0.5951394391533011	0.6845098279327024	0.9173091070957539	0.5785833003730291	0.5785833003730291	0.5785833003730291	0.5785833003730291	0.5785833003730291	0.9110747503947209	1.0056577478729904	1.0056577478729904	1.0912754920949497	1.0056577478729904	1.09127549209495	1.0056577478729902
CH_OB1_02	2.47107803102985e-08	0.0	1.666000468656264e-08	2.7877519926234643e-08	2.5809568279517847e-08	2.2351741790771484e-08	0.5951394391533017	0.5951394391533018	0.6845098279327025	0.5951394391533017	0.6845098279327025	0.9173091070957541	0.5785833003730295	0.5785833003730296	0.5785833003730295	0.5785833003730295	0.5785833003730295	0.9110747503947211	1.0056577478729907	1.0056577478729907	1.0912754920949503	1.0056577478729907	1.0912754920949503	1.0056577478729904
CH_OB1_03	1.0536712127723509e-08	1.666000468656264e-08	0.0	1.666000468656264e-08	1.0536712127723509e-08	1.0536712127723509e-08	0.5951394391533009	0.595139439153301	0.6845098279327022	0.5951394391533009	0.6845098279327022	0.9173091070957536	0.578583300373029	0.578583300373029	0.578583300373029	0.578583300373029	0.578583300373029	0.9110747503947207	1.0056577478729902	1.0056577478729902	1.0912754920949497	1.0056577478729902	1.0912754920949497	1.00565774787299
CH_OB1_04	1.0536712127723509e-08	2.7877519926234643e-08	1.666000468656264e-08	0.0	1.0536712127723509e-08	1.0536712127723509e-08	0.5951394391533011	0.5951394391533011	0.6845098279327027	0.5951394391533013	0.6845098279327025	0.9173091070957538	0.578583300373029	0.5785833003730291	0.5785833003730291	0.5785833003730291	0.5785833003730291	0.9110747503947205	1.0056577478729902	1.0056577478729902	1.0912754920949497	1.0056577478729902	1.0912754920949497	1.00565774787299
CH_OB1_05	0.0	2.5809568279517847e-08	1.0536712127723509e-08	1.0536712127723509e-08	0.0	0.0	0.5951394391533009	0.595139439153301	0.6845098279327023	0.595139439153301	0.6845098279327023	0.917309107095754	0.5785833003730287	0.5785833003730289	0.5785833003730289	0.5785833003730289	0.5785833003730289	0.9110747503947206	1.0056577478729902	1.0056577478729902	1.0912754920949497	1.0056577478729902	1.0912754920949497	1.00565774787299
CH_OB1_06	0.0	2.2351741790771484e-08	1.0536712127723509e-08	1.0536712127723509e-08	0.0	0.0	0.5951394391533009	0.595139439153301	0.6845098279327023	0.5951394391533009	0.6845098279327023	0.9173091070957538	0.5785833003730289	0.5785833003730289	0.5785833003730289	0.5785833003730289	0.5785833003730289	0.9110747503947206	1.0056577478729902	1.0056577478729902	1.0912754920949497	1.0056577478729902	1.0912754920949497	1.00565774787299
CH_OB2_01	0.5951394391533011	0.5951394391533017	0.5951394391533009	0.5951394391533011	0.5951394391533009	0.5951394391533009	0.0	1.1780402288468106e-08	0.5102594693105296	6.359468330392791e-09	0.5102594693105295	0.716168304781989	0.4818625514005801	0.4818625514005801	0.4818625514005801	0.4818625514005801	0.4818625514005801	1.0588396708646646	0.6020721639210854	0.6020721639210854	0.724847141573136	0.6020721639210854	0.724847141573136	0.6020721639210853
CH_OB2_02	0.5951394391533011	0.5951394391533018	0.595139439153301	0.5951394391533011	0.595139439153301	0.595139439153301	1.1780402288468106e-08	0.0	0.5102594693105297	1.1158557208095807e-08	0.5102594693105295	0.7161683047819891	0.4818625514005802	0.48186255140058015	0.48186255140058015	0.4818625514005801	0.48186255140058015	1.0588396708646646	0.6020721639210855	0.6020721639210855	0.7248471415731361	0.6020721639210855	0.724847141573136	0.6020721639210854
CH_OB2_03	0.6845098279327024	0.6845098279327025	0.6845098279327022	0.6845098279327027	0.6845098279327023	0.6845098279327023	0.5102594693105296	0.5102594693105297	0.0	0.5102594693105293	0.7071067811865472	0.8581911590558272	0.6418171899376935	0.6418171899376934	0.6418171899376935	0.6418171899376935	0.6418171899376935	1.154744202624525	0.7423619452184069	0.7423619452184068	0.8471709532550202	0.7423619452184069	1.1034938260085645	0.7423619452184067
CH_OB2_04	0.5951394391533011	0.5951394391533017	0.5951394391533009	0.5951394391533013	0.595139439153301	0.5951394391533009	6.359468330392791e-09	1.1158557208095807e-08	0.5102594693105293	0.0	0.5102594693105297	0.716168304781989	0.4818625514005801	0.4818625514005801	0.4818625514005801	0.4818625514005801	0.4818625514005801	1.0588396708646646	0.6020721639210855	0.6020721639210855	0.724847141573136	0.6020721639210855	0.7248471415731361	0.6020721639210853
CH_OB2_05	0.6845098279327024	0.6845098279327025	0.6845098279327022	0.6845098279327025	0.6845098279327023	0.6845098279327023	0.5102594693105295	0.5102594693105295	0.7071067811865472	0.5102594693105297	0.0	0.8581911590558273	0.6418171899376935	0.6418171899376935	0.6418171899376935	0.6418171899376935	0.6418171899376935	1.154744202624525	0.7423619452184069	0.7423619452184069	1.1034938260085643	0.7423619452184069	0.8471709532550203	0.7423619452184067
CH_OB2_06	0.9173091070957539	0.9173091070957541	0.9173091070957536	0.9173091070957538	0.917309107095754	0.9173091070957538	0.716168304781989	0.7161683047819891	0.8581911590558272	0.716168304781989	0.8581911590558273	0.0	1.0565830095603477	1.0565830095603477	1.0565830095603477	1.0565830095603477	1.0565830095603477	1.3007146697069494	0.9201930398604609	0.9201930398604609	1.01929016342499	0.9201930398604609	1.01929016342499	0.9201930398604609
CH_OB3_01	0.5785833003730291	0.5785833003730295	0.578583300373029	0.578583300373029	0.5785833003730287	0.5785833003730289	0.4818625514005801	0.4818625514005802	0.6418171899376935	0.4818625514005801	0.6418171899376935	1.0565830095603477	0.0	6.359468330392791e-09	6.359468330392791e-09	6.359468330392791e-09	6.359468330392791e-09	0.708206231282588	0.5875820743176264	0.5875820743176264	0.7219674569170431	0.5875820743176264	0.7219674569170432	0.5875820743176263
CH_OB3_02	0.5785833003730291	0.5785833003730296	0.578583300373029	0.5785833003730291	0.5785833003730289	0.5785833003730289	0.4818625514005801	0.48186255140058015	0.6418171899376934	0.4818625514005801	0.6418171899376935	1.0565830095603477	6.359468330392791e-09	0.0	0.0	5.268356063861754e-09	5.268356063861754e-09	0.7082062312825881	0.5875820743176264	0.5875820743176264	0.7219674569170431	0.5875820743176264	0.7219674569170432	0.5875820743176262
CH_OB3_03	0.5785833003730291	0.5785833003730295	0.578583300373029	0.5785833003730291	0.5785833003730289	0.5785833003730289	0.4818625514005801	0.48186255140058015	0.6418171899376935	0.4818625514005801	0.6418171899376935	1.0565830095603477	6.359468330392791e-09	0.0	0.0	0.0	0.0	0.708206231282588	0.5875820743176264	0.5875820743176264	0.7219674569170431	0.5875820743176264	0.7219674569170431	0.5875820743176262
CH_OB3_04	0.5785833003730291	0.5785833003730295	0.578583300373029	0.5785833003730291	0.5785833003730289	0.5785833003730289	0.4818625514005801	0.4818625514005801	0.6418171899376935	0.4818625514005801	0.6418171899376935	1.0565830095603477	6.359468330392791e-09	5.268356063861754e-09	0.0	0.0	0.0	0.708206231282588	0.5875820743176264	0.5875820743176264	0.7219674569170431	0.5875820743176264	0.7219674569170431	0.5875820743176263
