specimen_id	epi_cluster	biosample	sample_name	run	bioproject	spots	avg_read_len	size_MB	release_date	n_alias_matches	fastq_ftp	fastq_bytes
C_IA068_18	Vendor_A	SAMN13199611	18USIA12G1068CcS0011	SRR10395632	PRJNA578931	120194	502	36	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/032/SRR10395632/SRR10395632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/032/SRR10395632/SRR10395632_2.fastq.gz	16373997;20098647
C_IA069_18	Vendor_A	SAMN13199610	18USIA12G1069CcS0011	SRR10395633	PRJNA578931	29684	502	8	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/033/SRR10395633/SRR10395633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/033/SRR10395633/SRR10395633_2.fastq.gz	4029431;4798185
C_IA075_18	Vendor_A	SAMN13199604	18USIA14G1075CcS0011	SRR10395639	PRJNA578931	39536	502	11	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/039/SRR10395639/SRR10395639_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/039/SRR10395639/SRR10395639_2.fastq.gz	5060932;6118441
C_IA076_18	Vendor_A	SAMN13199603	18USIA14G1076CcS0011	SRR10395640	PRJNA578931	49918	502	15	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/040/SRR10395640/SRR10395640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/040/SRR10395640/SRR10395640_2.fastq.gz	6921679;8292453
C_IA077_18	Vendor_A	SAMN13199602	18USIA13G1077CcS0011	SRR10395642	PRJNA578931	166834	501	53	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/042/SRR10395642/SRR10395642_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/042/SRR10395642/SRR10395642_2.fastq.gz	25468837;27428670
C_IA078_18	Vendor_A	SAMN13199601	18USIA11G1078CcS0011	SRR10395643	PRJNA578931	148494	501	47	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/043/SRR10395643/SRR10395643_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/043/SRR10395643/SRR10395643_2.fastq.gz	23489901;24951665
C_IA082_18	Vendor_A	SAMN13199597	18USIA15G1082CcS0011	SRR10395647	PRJNA578931	18927	501	6	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/047/SRR10395647/SRR10395647_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/047/SRR10395647/SRR10395647_2.fastq.gz	3251782;3345935
C_IA083_18	Vendor_A	SAMN13199596	18USIA13G1083CcS0011	SRR10395648	PRJNA578931	52444	501	16	2019-11-07	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/048/SRR10395648/SRR10395648_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/048/SRR10395648/SRR10395648_2.fastq.gz	8236072;8745223
C_IA085_18	Vendor_A	SAMN13199594	18USIAxxx1085CcS0011	SRR10395650	PRJNA578931	334271	501	108	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/050/SRR10395650/SRR10395650_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/050/SRR10395650/SRR10395650_2.fastq.gz	56179785;60544849
C_IA086_18	Vendor_A	SAMN13199593	18USIAxxx1086CcS0011	SRR10395651	PRJNA578931	344555	501	110	2019-11-07	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/051/SRR10395651/SRR10395651_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/051/SRR10395651/SRR10395651_2.fastq.gz	61198947;64618148
C_IA087_18	Vendor_A	SAMN13199592	18USIA16G1087CcS0011	SRR10395711	PRJNA578931	287359	501	92	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/011/SRR10395711/SRR10395711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/011/SRR10395711/SRR10395711_2.fastq.gz	44023741;49017470
C_IA091_18	Vendor_A	SAMN13199588	18USIA16G1091CcS0011	SRR10395715	PRJNA578931	114537	501	36	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/015/SRR10395715/SRR10395715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/015/SRR10395715/SRR10395715_2.fastq.gz	18438505;19843415
C_IA092_18	Vendor_A	SAMN13199587	18USIA10G1092CcS0011	SRR10395716	PRJNA578931	276828	501	89	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/016/SRR10395716/SRR10395716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/016/SRR10395716/SRR10395716_2.fastq.gz	42950849;46581428
C_IA093_18	Vendor_A	SAMN13199586	18USIA20G1093CcS0011	SRR10395717	PRJNA578931	136341	501	43	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/017/SRR10395717/SRR10395717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/017/SRR10395717/SRR10395717_2.fastq.gz	24036294;25308330
C_IA094_18	Vendor_A	SAMN13199585	18USIA18G1094CcS0011	SRR10395718	PRJNA578931	168674	501	54	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/018/SRR10395718/SRR10395718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/018/SRR10395718/SRR10395718_2.fastq.gz	27241889;29701717
C_IA102_18	Vendor_A	SAMN13199577	18USIA20G1102CcS0011	SRR10395727	PRJNA578931	89940	501	28	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/027/SRR10395727/SRR10395727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/027/SRR10395727/SRR10395727_2.fastq.gz	14842435;15895636
C_IA104_18	Vendor_A	SAMN13199575	18USIA20G1104CcS0011	SRR10395729	PRJNA578931	129554	501	41	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/029/SRR10395729/SRR10395729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/029/SRR10395729/SRR10395729_2.fastq.gz	21863256;22850262
C_IA107_18	Vendor_A	SAMN13199572	18USIA20G1107CcS0011	SRR10395733	PRJNA578931	233064	501	75	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/033/SRR10395733/SRR10395733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/033/SRR10395733/SRR10395733_2.fastq.gz	42144602;44121096
C_IA110_18	Vendor_A	SAMN13199569	18USIA19G1110CcS0011	SRR10395736	PRJNA578931	70390	501	22	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/036/SRR10395736/SRR10395736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/036/SRR10395736/SRR10395736_2.fastq.gz	11482052;12520144
C_IA111_18	Vendor_A	SAMN13199568	18USIA21G1111CcS0011	SRR10395737	PRJNA578931	117483	501	38	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/037/SRR10395737/SRR10395737_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/037/SRR10395737/SRR10395737_2.fastq.gz	18385553;19249632
C_IA156_18	Vendor_A	SAMN13199523	18USIA03H1156CcS0011	SRR10396191	PRJNA578931	10788	497	3	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/091/SRR10396191/SRR10396191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/091/SRR10396191/SRR10396191_2.fastq.gz	1634725;1789280
C_IL004_18	Vendor_A	SAMN13199500	18USIL02G1004CcS0011	SRR10396273	PRJNA578931	375982	500	101	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/073/SRR10396273/SRR10396273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/073/SRR10396273/SRR10396273_2.fastq.gz	53194790;61380547
C_IL007_18	Vendor_A	SAMN13199497	18USIL29F1007CcS0011	SRR10396276	PRJNA578931	36164	501	9	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/076/SRR10396276/SRR10396276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/076/SRR10396276/SRR10396276_2.fastq.gz	5259905;6014657
C_IL012_18	Vendor_A	SAMN13199492	18USIL06G1012CcS0011	SRR10396282	PRJNA578931	205178	500	61	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/082/SRR10396282/SRR10396282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/082/SRR10396282/SRR10396282_2.fastq.gz	26411225;33150875
C_IL013_18	Vendor_A	SAMN13199491	18USIL06G1013CcS0011	SRR10395829	PRJNA578931	143626	500	44	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/029/SRR10395829/SRR10395829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/029/SRR10395829/SRR10395829_2.fastq.gz	19955995;25760141
C_IL018_18	Vendor_A	SAMN13199486	18USIL05G1018CcS0011	SRR10395834	PRJNA578931	102429	500	30	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/034/SRR10395834/SRR10395834_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/034/SRR10395834/SRR10395834_2.fastq.gz	13717574;17210269
C_IL019_18	Vendor_A	SAMN13199485	18USIL09G1019CcS0011	SRR10395835	PRJNA578931	35918	500	11	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/035/SRR10395835/SRR10395835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/035/SRR10395835/SRR10395835_2.fastq.gz	5337512;6403181
C_IL020_18	Vendor_A	SAMN13199484	18USIL09G1020CcS0011	SRR10395836	PRJNA578931	360335	500	107	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/036/SRR10395836/SRR10395836_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/036/SRR10395836/SRR10395836_2.fastq.gz	47903759;59079128
C_IL022_18	Vendor_A	SAMN13199482	18USIL05G1022CcS0011	SRR10395839	PRJNA578931	150253	500	44	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/039/SRR10395839/SRR10395839_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/039/SRR10395839/SRR10395839_2.fastq.gz	18957626;24588232
C_IL023_18	Vendor_A	SAMN13199481	18USIL09G1023CcS0011	SRR10395840	PRJNA578931	208764	500	62	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/040/SRR10395840/SRR10395840_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/040/SRR10395840/SRR10395840_2.fastq.gz	25732990;32974794
C_IL024_18	Vendor_A	SAMN13199480	18USIL06G1024CcS0011	SRR10395841	PRJNA578931	190354	500	56	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/041/SRR10395841/SRR10395841_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/041/SRR10395841/SRR10395841_2.fastq.gz	23011219;30524851
C_IL025_18	Vendor_A	SAMN13199479	18USIL11G1025CcS0011	SRR10395842	PRJNA578931	98470	500	29	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/042/SRR10395842/SRR10395842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/042/SRR10395842/SRR10395842_2.fastq.gz	12562962;15567144
C_IL031_18	Vendor_A	SAMN13199473	18USIL12G1031CcS0011	SRR10395848	PRJNA578931	126706	502	37	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/048/SRR10395848/SRR10395848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/048/SRR10395848/SRR10395848_2.fastq.gz	17110223;21066608
C_IL032_18	Vendor_A	SAMN13199472	18USIL12G1032CcS0011	SRR10395850	PRJNA578931	106066	502	32	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/050/SRR10395850/SRR10395850_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/050/SRR10395850/SRR10395850_2.fastq.gz	15532559;18553242
C_IL033_18	Vendor_A	SAMN13199471	18USIL12G1033CcS0011	SRR10395851	PRJNA578931	241495	502	74	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/051/SRR10395851/SRR10395851_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/051/SRR10395851/SRR10395851_2.fastq.gz	34991901;44615161
C_IL034_18	Vendor_A	SAMN13199470	18USIL13G1034CcS0011	SRR10395852	PRJNA578931	115037	502	35	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/052/SRR10395852/SRR10395852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/052/SRR10395852/SRR10395852_2.fastq.gz	14686558;19740782
C_IL036_18	Vendor_A	SAMN13199468	18USIL14G1036CcS0011	SRR10395854	PRJNA578931	130776	502	40	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/054/SRR10395854/SRR10395854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/054/SRR10395854/SRR10395854_2.fastq.gz	18754897;24386851
C_IL037_18	Vendor_A	SAMN13199467	18USIL10G1037CcS0011	SRR10395855	PRJNA578931	87221	502	27	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/055/SRR10395855/SRR10395855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/055/SRR10395855/SRR10395855_2.fastq.gz	12324180;15979731
C_IL039_18	Vendor_A	SAMN13199465	18USIL08G1039CcS0011	SRR10395913	PRJNA578931	57270	502	17	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/013/SRR10395913/SRR10395913_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/013/SRR10395913/SRR10395913_2.fastq.gz	7847320;10277702
C_IL040_18	Vendor_A	SAMN13199464	18USIL14G1040CcS0011	SRR10395914	PRJNA578931	181362	502	52	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/014/SRR10395914/SRR10395914_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/014/SRR10395914/SRR10395914_2.fastq.gz	24871099;28647488
C_IL042_18	Vendor_A	SAMN13199462	18USIL12G1042CcS0011	SRR10395917	PRJNA578931	88144	502	27	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/017/SRR10395917/SRR10395917_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/017/SRR10395917/SRR10395917_2.fastq.gz	12452590;15425735
C_IL044_18	Vendor_A	SAMN13199460	18USIL12G1044CcS0011	SRR10395919	PRJNA578931	90956	502	30	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/019/SRR10395919/SRR10395919_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/019/SRR10395919/SRR10395919_2.fastq.gz	13428905;17647746
C_IL046_18	Vendor_A	SAMN13199458	18USIL13G1046CcS0011	SRR10395921	PRJNA578931	131113	502	37	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/021/SRR10395921/SRR10395921_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/021/SRR10395921/SRR10395921_2.fastq.gz	17357274;19893250
C_IL047_18	Vendor_A	SAMN13199457	18USIL11G1047CcS0011	SRR10395922	PRJNA578931	77512	502	22	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/022/SRR10395922/SRR10395922_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/022/SRR10395922/SRR10395922_2.fastq.gz	10224423;11754084
C_IL048_18	Vendor_A	SAMN13199456	18USIL13G1048CcS0011	SRR10395923	PRJNA578931	115672	502	33	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/023/SRR10395923/SRR10395923_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/023/SRR10395923/SRR10395923_2.fastq.gz	16401825;18633352
C_IL049_18	Vendor_A	SAMN13199455	18USIL12G1049CcS0011	SRR10395924	PRJNA578931	16745	502	4	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/024/SRR10395924/SRR10395924_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/024/SRR10395924/SRR10395924_2.fastq.gz	2352168;2646723
C_IL050_18	Vendor_A	SAMN13199454	18USIL12G1050CcS0011	SRR10395925	PRJNA578931	188613	502	55	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/025/SRR10395925/SRR10395925_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/025/SRR10395925/SRR10395925_2.fastq.gz	23144087;27926251
C_IL054_18	Vendor_A	SAMN13199450	18USIL13G1054CcS0011	SRR10395930	PRJNA578931	323925	502	92	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/030/SRR10395930/SRR10395930_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/030/SRR10395930/SRR10395930_2.fastq.gz	42763628;49130334
C_IL055_18	Vendor_A	SAMN13199449	18USIL13G1055CcS0011	SRR10395931	PRJNA578931	273455	502	79	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/031/SRR10395931/SRR10395931_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/031/SRR10395931/SRR10395931_2.fastq.gz	34654919;41077626
C_IL056_18	Vendor_A	SAMN13199448	18USIL14G1056CcS0011	SRR10395932	PRJNA578931	248815	502	71	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/032/SRR10395932/SRR10395932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/032/SRR10395932/SRR10395932_2.fastq.gz	29594538;34631729
C_IL057_18	Vendor_A	SAMN13199447	18USIL13G1057CcS0011	SRR10395933	PRJNA578931	461937	502	133	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/033/SRR10395933/SRR10395933_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/033/SRR10395933/SRR10395933_2.fastq.gz	63050180;73467232
C_IL058_18	Vendor_A	SAMN13199446	18USIL15G1058CcS0011	SRR10395934	PRJNA578931	180111	502	51	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/034/SRR10395934/SRR10395934_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/034/SRR10395934/SRR10395934_2.fastq.gz	22407629;25338503
C_IL059_18	Vendor_A	SAMN13199445	18USIL15G1059CcS0011	SRR10395935	PRJNA578931	250344	502	73	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/035/SRR10395935/SRR10395935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/035/SRR10395935/SRR10395935_2.fastq.gz	33669615;38526021
C_IL060_18	Vendor_A	SAMN13199444	18USIL13G1060CcS0011	SRR10395936	PRJNA578931	193799	502	56	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/036/SRR10395936/SRR10395936_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/036/SRR10395936/SRR10395936_2.fastq.gz	24838880;28997311
C_IL062_18	Vendor_A	SAMN13199442	18USIL13G1062CcS0011	SRR10395940	PRJNA578931	402313	502	119	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/040/SRR10395940/SRR10395940_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/040/SRR10395940/SRR10395940_2.fastq.gz	58002758;69689941
C_IL065_18	Vendor_A	SAMN13199439	18USIL11G1065CcS0011	SRR10395999	PRJNA578931	105493	502	31	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/099/SRR10395999/SRR10395999_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/099/SRR10395999/SRR10395999_2.fastq.gz	12934627;16659454
C_IL066_18	Vendor_A	SAMN13199438	18USIL11G1066CcS0011	SRR10396000	PRJNA578931	153124	502	46	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/000/SRR10396000/SRR10396000_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/000/SRR10396000/SRR10396000_2.fastq.gz	18666343;23391081
C_IL067_18	Vendor_A	SAMN13199437	18USIL14G1067CcS0011	SRR10396001	PRJNA578931	175549	502	52	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/001/SRR10396001/SRR10396001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/001/SRR10396001/SRR10396001_2.fastq.gz	22662636;27942387
C_IL071_18	Vendor_A	SAMN13199433	18USIL14G1071CcS0011	SRR10396005	PRJNA578931	230604	502	67	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/005/SRR10396005/SRR10396005_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/005/SRR10396005/SRR10396005_2.fastq.gz	27878538;33440023
C_IL072_18	Vendor_A	SAMN13199432	18USIL13G1072CcS0011	SRR10396007	PRJNA578931	264551	502	77	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/007/SRR10396007/SRR10396007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/007/SRR10396007/SRR10396007_2.fastq.gz	33736569;39652588
C_IL074_18	Vendor_A	SAMN13199430	18USIL14G1074CcS0011	SRR10396009	PRJNA578931	207156	502	61	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/009/SRR10396009/SRR10396009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/009/SRR10396009/SRR10396009_2.fastq.gz	30156683;34131564
C_IL076_18	Vendor_A	SAMN13199428	18USIL17G1076CcS0011	SRR10396011	PRJNA578931	178523	502	52	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/011/SRR10396011/SRR10396011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/011/SRR10396011/SRR10396011_2.fastq.gz	24226338;28357905
C_IL077_18	Vendor_A	SAMN13199427	18USIL16G1077CcS0011	SRR10396012	PRJNA578931	250543	502	75	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/012/SRR10396012/SRR10396012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/012/SRR10396012/SRR10396012_2.fastq.gz	34210671;42711139
C_IL079_18	Vendor_A	SAMN13199425	18USIL16G1079CcS0011	SRR10396014	PRJNA578931	282907	502	85	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/014/SRR10396014/SRR10396014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/014/SRR10396014/SRR10396014_2.fastq.gz	37930690;48086154
