specimen_id	epi_cluster	biosample	sample_name	run	bioproject	spots	avg_read_len	size_MB	release_date	n_alias_matches	fastq_ftp	fastq_bytes
C_IA031_18	Vendor_A	SAMN13199648	18USIAxxx1031CcS0011	SRR10395990	PRJNA578931	205817	500	61	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/090/SRR10395990/SRR10395990_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/090/SRR10395990/SRR10395990_2.fastq.gz	32393237;37642092
C_IA034_18	Vendor_A	SAMN13199645	18USIAxxx1034CcS0011	SRR10395993	PRJNA578931	278787	500	82	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/093/SRR10395993/SRR10395993_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/093/SRR10395993/SRR10395993_2.fastq.gz	39820322;48663926
C_IA039_18	Vendor_A	SAMN13199640	18USIA06G1039CcS0011	SRR10396056	PRJNA578931	245881	500	70	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/056/SRR10396056/SRR10396056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/056/SRR10396056/SRR10396056_2.fastq.gz	28738621;34621204
C_IA040_18	Vendor_A	SAMN13199639	18USIA05G1040CcS0011	SRR10396057	PRJNA578931	199870	500	58	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/057/SRR10396057/SRR10396057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/057/SRR10396057/SRR10396057_2.fastq.gz	24841980;30355071
C_IA045_18	Vendor_A	SAMN13199634	18USIA09G1045CcS0011	SRR10396062	PRJNA578931	198642	500	57	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/062/SRR10396062/SRR10396062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/062/SRR10396062/SRR10396062_2.fastq.gz	23516428;28532391
C_IA048_18	Vendor_A	SAMN13199631	18USIA10G1048CcS0011	SRR10396066	PRJNA578931	192758	500	56	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/066/SRR10396066/SRR10396066_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/066/SRR10396066/SRR10396066_2.fastq.gz	21894308;29117014
C_IA052_18	Vendor_A	SAMN13199627	18USIAxxx1052CcS0011	SRR10396070	PRJNA578931	165528	500	48	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/070/SRR10396070/SRR10396070_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/070/SRR10396070/SRR10396070_2.fastq.gz	21187730;26655833
C_IA058_18	Vendor_A	SAMN13199621	18USIAxxx1058CcS0011	SRR10395565	PRJNA578931	221345	500	64	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/065/SRR10395565/SRR10395565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/065/SRR10395565/SRR10395565_2.fastq.gz	26932407;33072665
C_IA062_18	Vendor_A	SAMN13199617	18USIAxxx1062CcS0011	SRR10395625	PRJNA578931	245545	502	73	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/025/SRR10395625/SRR10395625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/025/SRR10395625/SRR10395625_2.fastq.gz	37073361;44316874
C_IA064_18	Vendor_A	SAMN13199615	18USIAxxx1064CcS0011	SRR10395627	PRJNA578931	265007	502	80	2019-11-06	1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/027/SRR10395627/SRR10395627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/027/SRR10395627/SRR10395627_2.fastq.gz	34785442;43057963
