Seq_ID	Mt_Cmt127.A_Junction_Hap_2	Mt_Cmt139.X_Junction_Hap_26	Mt_Cmt139.X_Junction_Hap_27	Mt_Cmt139.X_Junction_Hap_38	Mt_Cmt139.X_Junction_Hap_56	Mt_Cmt154.A_Junction_Hap_3	Mt_Cmt154.B_Junction_Hap_4	Mt_Cmt154.C_Junction_Hap_5	Mt_Cmt154.E_Junction_Hap_7	Mt_Cmt154.X_Junction_Hap_59	Mt_Cmt169.A_Junction_Hap_8	Mt_Cmt169.B_Junction_Hap_9	Mt_Cmt169.C_Junction_Hap_10	Mt_Cmt169.X_Junction_Hap_36	Mt_Cmt169.X_Junction_Hap_43	Mt_Cmt169.X_Junction_Hap_60	Mt_Cmt184.A_Junction_Hap_11	Mt_Cmt184.B_Junction_Hap_12	Mt_Cmt184.C_Junction_Hap_13	Mt_Cmt184.D_Junction_Hap_14	Mt_Cmt184.F_Junction_Hap_16	Mt_Cmt184.X_Junction_Hap_34	Mt_Cmt184.X_Junction_Hap_39	Mt_Cmt184.X_Junction_Hap_61	Mt_Cmt199.A_Junction_Hap_17	Mt_Cmt199.B_Junction_Hap_18	Mt_Cmt199.C_Junction_Hap_19	Mt_Cmt199.X_Junction_Hap_23	Mt_Cmt199.X_Junction_Hap_29	Mt_Cmt199.X_Junction_Hap_30	Mt_Cmt199.X_Junction_Hap_31	Mt_Cmt199.X_Junction_Hap_32	Mt_Cmt199.X_Junction_Hap_58	Mt_Cmt214.X_Junction_Hap_25	Mt_Cmt214.X_Junction_Hap_28	Mt_Cmt214.X_Junction_Hap_57	Mt_Cmt229.X_Junction_Hap_62	Mt_MSR_PART_A_Hap_1	Mt_MSR_PART_A_Hap_2	Mt_MSR_PART_A_Hap_3	Mt_MSR_PART_B_Hap_1	Mt_MSR_PART_B_Hap_2	Mt_MSR_PART_B_Hap_24	Mt_MSR_PART_B_Hap_25	Mt_MSR_PART_C_Hap_1	Mt_MSR_PART_C_Hap_18	Mt_MSR_PART_D_Hap_1	Mt_MSR_PART_D_Hap_14	Mt_MSR_PART_E_Hap_1	Mt_MSR_PART_E_Hap_2	Mt_MSR_PART_F_Hap_1	Mt_MSR_PART_F_Hap_2	Nu_360i2_PART_A_Hap_1	Nu_360i2_PART_A_Hap_10	Nu_360i2_PART_A_Hap_11	Nu_360i2_PART_A_Hap_3	Nu_360i2_PART_A_Hap_4	Nu_360i2_PART_A_Hap_6	Nu_360i2_PART_B_Hap_1	Nu_360i2_PART_B_Hap_13	Nu_360i2_PART_B_Hap_14	Nu_360i2_PART_B_Hap_15	Nu_360i2_PART_B_Hap_3	Nu_360i2_PART_B_Hap_4	Nu_360i2_PART_B_Hap_8	Nu_360i2_PART_C_Hap_1	Nu_360i2_PART_C_Hap_11	Nu_360i2_PART_C_Hap_12	Nu_360i2_PART_C_Hap_2	Nu_360i2_PART_C_Hap_3	Nu_360i2_PART_C_Hap_4	Nu_360i2_PART_D_Hap_1	Nu_360i2_PART_D_Hap_13	Nu_360i2_PART_D_Hap_14	Nu_360i2_PART_D_Hap_2	Nu_360i2_PART_D_Hap_3	Nu_360i2_PART_D_Hap_5	Nu_360i2_PART_E_Hap_1	Nu_360i2_PART_E_Hap_2	Nu_360i2_PART_E_Hap_3	Nu_360i2_PART_E_Hap_5	Nu_360i2_PART_E_Hap_6	Nu_360i2_PART_E_Hap_8	Nu_360i2_PART_F_Hap_1	Nu_360i2_PART_F_Hap_3	Nu_360i2_PART_F_Hap_6	Nu_378_PART_A_Hap_10	Nu_378_PART_A_Hap_11	Nu_378_PART_A_Hap_12	Nu_378_PART_A_Hap_13	Nu_378_PART_A_Hap_2	Nu_378_PART_A_Hap_4	Nu_378_PART_A_Hap_5	Nu_378_PART_A_Hap_6	Nu_378_PART_A_Hap_7	Nu_378_PART_A_Hap_8	Nu_378_PART_B_Hap_1	Nu_378_PART_B_Hap_2	Nu_378_PART_B_Hap_7	Nu_378_PART_B_Hap_8	Nu_378_PART_C_Hap_1	Nu_378_PART_C_Hap_10	Nu_378_PART_C_Hap_11	Nu_378_PART_C_Hap_2	Nu_378_PART_C_Hap_4	Nu_378_PART_C_Hap_5	Nu_378_PART_C_Hap_9	Nu_378_PART_D_Hap_10	Nu_378_PART_D_Hap_11	Nu_378_PART_D_Hap_14	Nu_378_PART_D_Hap_2	Nu_378_PART_D_Hap_3	Nu_378_PART_D_Hap_4	Nu_378_PART_D_Hap_5	Nu_378_PART_D_Hap_6	Nu_378_PART_D_Hap_7	Nu_378_PART_D_Hap_8	Nu_378_PART_D_Hap_9	Nu_CDS1_PART_A_Hap_1	Nu_CDS1_PART_A_Hap_2	Nu_CDS1_PART_A_Hap_4	Nu_CDS1_PART_A_Hap_5	Nu_CDS1_PART_B_Hap_1	Nu_CDS1_PART_B_Hap_2	Nu_CDS1_PART_B_Hap_4	Nu_CDS1_PART_B_Hap_7	Nu_CDS1_PART_B_Hap_8	Nu_CDS1_PART_B_Hap_9	Nu_CDS2_PART_A_Hap_1	Nu_CDS2_PART_A_Hap_2	Nu_CDS2_PART_A_Hap_4	Nu_CDS2_PART_A_Hap_7	Nu_CDS2_PART_A_Hap_8	Nu_CDS2_PART_A_Hap_9	Nu_CDS2_PART_B_Hap_1	Nu_CDS2_PART_B_Hap_3	Nu_CDS2_PART_B_Hap_5	Nu_CDS3_PART_A_Hap_1	Nu_CDS3_PART_A_Hap_10	Nu_CDS3_PART_A_Hap_11	Nu_CDS3_PART_A_Hap_12	Nu_CDS3_PART_A_Hap_2	Nu_CDS3_PART_A_Hap_3	Nu_CDS3_PART_A_Hap_5	Nu_CDS3_PART_A_Hap_9	Nu_CDS3_PART_B_Hap_1	Nu_CDS3_PART_B_Hap_10	Nu_CDS3_PART_B_Hap_11	Nu_CDS3_PART_B_Hap_6	Nu_CDS3_PART_B_Hap_9	Nu_CDS4_PART_A_Hap_1	Nu_CDS4_PART_A_Hap_2	Nu_CDS4_PART_A_Hap_3	Nu_CDS4_PART_A_Hap_4	Nu_CDS4_PART_A_Hap_5	Nu_CDS4_PART_A_Hap_6	Nu_CDS4_PART_A_Hap_7	Nu_CDS4_PART_B_Hap_1	Nu_CDS4_PART_B_Hap_2	Nu_CDS4_PART_B_Hap_3	Nu_CDS4_PART_B_Hap_4	Nu_CDS4_PART_B_Hap_5	Nu_CDS4_PART_B_Hap_6	Nu_CDS4_PART_B_Hap_7	Nu_CDS4_PART_B_Hap_8
C_IA013_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X																																																				
C_IA018_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X						X				X						X						X			X								X					X														
C_IA031_18																																						X			X				X		X		X		X		X						X							X						X						X						X								X	X				X	X						X									X			X		X											X																																				
C_IA034_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X																																									
C_IA039_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X													X									X								X						X							X						
C_IA040_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X														X								X						X							X						
C_IA045_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X																						X								X																			
C_IA048_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X													X									X								X																			
C_IA052_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IA058_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IA059_18											X																											X			X				X		X		X		X		X						X							X						X						X						X																																			X				X						X						X			X								X					X														
C_IA062_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X									X					X						X												X				X				X					X						X			X								X						X							X						
C_IA064_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IA068_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IA069_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IA075_18							X																		X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IA076_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X					X							X									X																X						X																														
C_IA077_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X													
C_IA078_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X								X					X									X								X						X													
C_IA082_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X														X								X																			
C_IA083_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IA085_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X																																																	
C_IA086_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X																																																	
C_IA087_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X																			
C_IA091_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IA092_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X													
C_IA093_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X																						X																											
C_IA094_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X																			
C_IA102_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IA104_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IA107_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X																			
C_IA110_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IA111_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IA156_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X													X							X																																																													
C_IL004_18																																						X			X				X		X		X		X		X						X										X			X						X						X									X					X						X												X																						X								X																			
C_IL007_18																									X													X			X				X		X		X		X								X							X			X			X						X																				X						X																																																													
C_IL012_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X																																				X							X						
C_IL013_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X													
C_IL018_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IL019_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X																												X							X						
C_IL020_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X																																				X							X						
C_IL022_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IL023_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X								X					X						X			X								X						X													
C_IL024_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X								X					X						X			X								X						X													
C_IL025_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X													X						X			X								X																			
C_IL031_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X								X					X						X			X								X						X							X						
C_IL032_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X														X								X						X													
C_IL033_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IL034_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IL036_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X					X							X									X																X						X																	X													
C_IL037_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X									X								X						X							X						
C_IL039_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X								X														X								X						X							X						
