Seq_ID	Mt_Cmt127.A_Junction_Hap_2	Mt_Cmt139.X_Junction_Hap_26	Mt_Cmt139.X_Junction_Hap_27	Mt_Cmt139.X_Junction_Hap_38	Mt_Cmt139.X_Junction_Hap_56	Mt_Cmt154.A_Junction_Hap_3	Mt_Cmt154.B_Junction_Hap_4	Mt_Cmt154.C_Junction_Hap_5	Mt_Cmt154.E_Junction_Hap_7	Mt_Cmt154.X_Junction_Hap_59	Mt_Cmt169.A_Junction_Hap_8	Mt_Cmt169.B_Junction_Hap_9	Mt_Cmt169.C_Junction_Hap_10	Mt_Cmt169.X_Junction_Hap_36	Mt_Cmt169.X_Junction_Hap_43	Mt_Cmt169.X_Junction_Hap_60	Mt_Cmt184.A_Junction_Hap_11	Mt_Cmt184.B_Junction_Hap_12	Mt_Cmt184.C_Junction_Hap_13	Mt_Cmt184.D_Junction_Hap_14	Mt_Cmt184.F_Junction_Hap_16	Mt_Cmt184.X_Junction_Hap_34	Mt_Cmt184.X_Junction_Hap_39	Mt_Cmt184.X_Junction_Hap_61	Mt_Cmt199.A_Junction_Hap_17	Mt_Cmt199.B_Junction_Hap_18	Mt_Cmt199.C_Junction_Hap_19	Mt_Cmt199.X_Junction_Hap_23	Mt_Cmt199.X_Junction_Hap_29	Mt_Cmt199.X_Junction_Hap_30	Mt_Cmt199.X_Junction_Hap_31	Mt_Cmt199.X_Junction_Hap_32	Mt_Cmt199.X_Junction_Hap_58	Mt_Cmt214.X_Junction_Hap_25	Mt_Cmt214.X_Junction_Hap_28	Mt_Cmt214.X_Junction_Hap_57	Mt_Cmt229.X_Junction_Hap_62	Mt_MSR_PART_A_Hap_1	Mt_MSR_PART_A_Hap_2	Mt_MSR_PART_A_Hap_3	Mt_MSR_PART_B_Hap_1	Mt_MSR_PART_B_Hap_2	Mt_MSR_PART_B_Hap_24	Mt_MSR_PART_B_Hap_25	Mt_MSR_PART_C_Hap_1	Mt_MSR_PART_C_Hap_18	Mt_MSR_PART_D_Hap_1	Mt_MSR_PART_D_Hap_14	Mt_MSR_PART_E_Hap_1	Mt_MSR_PART_E_Hap_2	Mt_MSR_PART_F_Hap_1	Mt_MSR_PART_F_Hap_2	Nu_360i2_PART_A_Hap_1	Nu_360i2_PART_A_Hap_10	Nu_360i2_PART_A_Hap_11	Nu_360i2_PART_A_Hap_3	Nu_360i2_PART_A_Hap_4	Nu_360i2_PART_A_Hap_6	Nu_360i2_PART_B_Hap_1	Nu_360i2_PART_B_Hap_13	Nu_360i2_PART_B_Hap_14	Nu_360i2_PART_B_Hap_15	Nu_360i2_PART_B_Hap_3	Nu_360i2_PART_B_Hap_4	Nu_360i2_PART_B_Hap_8	Nu_360i2_PART_C_Hap_1	Nu_360i2_PART_C_Hap_11	Nu_360i2_PART_C_Hap_12	Nu_360i2_PART_C_Hap_2	Nu_360i2_PART_C_Hap_3	Nu_360i2_PART_C_Hap_4	Nu_360i2_PART_D_Hap_1	Nu_360i2_PART_D_Hap_13	Nu_360i2_PART_D_Hap_14	Nu_360i2_PART_D_Hap_2	Nu_360i2_PART_D_Hap_3	Nu_360i2_PART_D_Hap_5	Nu_360i2_PART_E_Hap_1	Nu_360i2_PART_E_Hap_2	Nu_360i2_PART_E_Hap_3	Nu_360i2_PART_E_Hap_5	Nu_360i2_PART_E_Hap_6	Nu_360i2_PART_E_Hap_8	Nu_360i2_PART_F_Hap_1	Nu_360i2_PART_F_Hap_3	Nu_360i2_PART_F_Hap_6	Nu_378_PART_A_Hap_10	Nu_378_PART_A_Hap_11	Nu_378_PART_A_Hap_12	Nu_378_PART_A_Hap_13	Nu_378_PART_A_Hap_2	Nu_378_PART_A_Hap_4	Nu_378_PART_A_Hap_5	Nu_378_PART_A_Hap_6	Nu_378_PART_A_Hap_7	Nu_378_PART_A_Hap_8	Nu_378_PART_B_Hap_1	Nu_378_PART_B_Hap_2	Nu_378_PART_B_Hap_7	Nu_378_PART_B_Hap_8	Nu_378_PART_C_Hap_1	Nu_378_PART_C_Hap_10	Nu_378_PART_C_Hap_11	Nu_378_PART_C_Hap_2	Nu_378_PART_C_Hap_4	Nu_378_PART_C_Hap_5	Nu_378_PART_C_Hap_9	Nu_378_PART_D_Hap_10	Nu_378_PART_D_Hap_11	Nu_378_PART_D_Hap_14	Nu_378_PART_D_Hap_2	Nu_378_PART_D_Hap_3	Nu_378_PART_D_Hap_4	Nu_378_PART_D_Hap_5	Nu_378_PART_D_Hap_6	Nu_378_PART_D_Hap_7	Nu_378_PART_D_Hap_8	Nu_378_PART_D_Hap_9	Nu_CDS1_PART_A_Hap_1	Nu_CDS1_PART_A_Hap_2	Nu_CDS1_PART_A_Hap_4	Nu_CDS1_PART_A_Hap_5	Nu_CDS1_PART_B_Hap_1	Nu_CDS1_PART_B_Hap_2	Nu_CDS1_PART_B_Hap_4	Nu_CDS1_PART_B_Hap_7	Nu_CDS1_PART_B_Hap_8	Nu_CDS1_PART_B_Hap_9	Nu_CDS2_PART_A_Hap_1	Nu_CDS2_PART_A_Hap_2	Nu_CDS2_PART_A_Hap_4	Nu_CDS2_PART_A_Hap_7	Nu_CDS2_PART_A_Hap_8	Nu_CDS2_PART_A_Hap_9	Nu_CDS2_PART_B_Hap_1	Nu_CDS2_PART_B_Hap_3	Nu_CDS2_PART_B_Hap_5	Nu_CDS3_PART_A_Hap_1	Nu_CDS3_PART_A_Hap_10	Nu_CDS3_PART_A_Hap_11	Nu_CDS3_PART_A_Hap_12	Nu_CDS3_PART_A_Hap_2	Nu_CDS3_PART_A_Hap_3	Nu_CDS3_PART_A_Hap_5	Nu_CDS3_PART_A_Hap_9	Nu_CDS3_PART_B_Hap_1	Nu_CDS3_PART_B_Hap_10	Nu_CDS3_PART_B_Hap_11	Nu_CDS3_PART_B_Hap_6	Nu_CDS3_PART_B_Hap_9	Nu_CDS4_PART_A_Hap_1	Nu_CDS4_PART_A_Hap_2	Nu_CDS4_PART_A_Hap_3	Nu_CDS4_PART_A_Hap_4	Nu_CDS4_PART_A_Hap_5	Nu_CDS4_PART_A_Hap_6	Nu_CDS4_PART_A_Hap_7	Nu_CDS4_PART_B_Hap_1	Nu_CDS4_PART_B_Hap_2	Nu_CDS4_PART_B_Hap_3	Nu_CDS4_PART_B_Hap_4	Nu_CDS4_PART_B_Hap_5	Nu_CDS4_PART_B_Hap_6	Nu_CDS4_PART_B_Hap_7	Nu_CDS4_PART_B_Hap_8
C_IL040_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X					X							X									X							X				X					X									X								X						X							X						
C_IL042_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IL044_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X					X	X						X									X							X				X					X						X																	X													
C_IL046_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X													
C_IL047_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IL048_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X													X						X			X								X						X													
C_IL049_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X													X	X						X									X			X																						X																											
C_IL050_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IL054_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X													X	X						X																X				X					X						X			X								X						X							X						
C_IL055_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X													X						X			X								X						X							X						
C_IL056_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IL057_18																									X													X			X				X		X		X		X		X						X							X						X						X						X																																																						X								X																			
C_IL058_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IL059_18																																						X			X				X		X		X		X		X						X										X			X						X						X									X					X						X												X																																				X							X						
C_IL060_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IL062_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X														X								X						X							X						
C_IL065_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IL066_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X													X						X			X								X						X													
C_IL067_18																																						X			X				X		X		X		X		X						X										X			X						X						X									X					X						X												X													X						X																	X													
C_IL071_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X					X							X									X							X				X					X						X			X								X						X							X						
C_IL072_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IL074_18																																						X			X				X		X		X		X		X						X							X						X						X						X									X					X						X												X																						X								X																			
C_IL076_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IL077_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IL079_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_IL080_18																									X													X			X				X		X		X		X		X						X										X			X						X						X								X	X				X	X						X									X			X													X						X																	X							X						
C_IL081_18																																						X			X				X		X		X		X		X						X							X						X						X						X								X					X							X									X																X						X			X								X						X							X						
C_IL082_18																									X													X			X				X		X		X		X		X						X							X						X						X						X																																													X						X																														
C_IL085_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X									X				X	X						X									X			X																																																	
C_IL086_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X									X								X																			
C_IL087_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X																																				
C_IL097_18																									X													X			X				X		X		X		X		X						X										X			X						X														X	X				X	X						X									X																																																				
C_IL099_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X																			X			X																											
C_IL113_18																									X													X			X				X		X		X		X		X						X							X			X			X						X																			X	X						X									X			X																																																	
C_IL119_18																									X																X				X		X		X																																																																											X					X						X			X								X																			
C_IL120_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X																						X																											
C_IL126_18																									X													X			X				X		X		X		X		X						X										X			X						X														X	X				X	X						X									X			X																														X																			
C_MO003_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X						X							X						
C_OH003_18																									X													X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X									X			X				X				X					X						X			X								X																			
C_OH006_18																									X													X			X				X		X		X		X																																										X					X						X												X													X						X																														
C_OH014_18																									X													X			X				X		X		X		X		X						X										X			X						X						X								X	X				X	X						X									X			X													X						X			X								X																			
C_WI008_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X									X				X	X						X							X		X																																																				
C_WI011_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X																									X								X																			
C_WI020_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X										X															X								X																			
C_WI024_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X																																																				
C_WI026_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X						X				X						X						X			X								X					X							X							
C_WI031_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X										X															X								X																			
C_WI033_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X						X																			X								X																			
C_WI036_18											X																											X			X				X		X		X		X		X						X							X			X			X						X														X	X				X	X						X							X		X																																																				
C_WI037_18											X																											X			X				X		X		X		X		X						X							X			X			X						X														X	X				X	X						X							X		X																																																				
C_WI038_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X																									X								X																			
C_WI039_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X										X															X																											
C_WI040_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X																									X								X																			
C_WI041_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X																									X																											
C_WI092_18																																						X			X				X		X		X		X		X						X							X			X			X					X	X						X								X	X				X	X						X							X		X						X				X						X						X			X								X					X														
C_WI093_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X						X				X						X						X			X								X					X														
C_WI094_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X					X							X									X						X				X						X						X			X								X																			
C_WI095_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X																X						X			X								X																			
C_WI096_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X						X				X						X						X			X								X					X							X							
C_WI097_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X						X				X						X						X			X								X					X														
C_WI098_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X						X				X						X						X			X								X																			
C_WI099_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X						X				X						X						X			X								X					X							X							
C_WI100_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X						X				X						X						X			X								X																			
C_WI101_18																																						X			X				X		X		X		X		X						X							X						X						X						X								X	X				X	X						X							X		X						X				X						X						X			X								X					X							X							
C_WI102_18																																						X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X						X				X						X						X			X								X					X							X							
C_WI103_18											X																											X			X				X		X		X		X		X						X										X			X						X						X								X	X				X	X						X							X		X						X				X						X						X			X								X																			
C_WI107_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X						X				X						X						X			X								X					X														
C_WI109_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X						X				X						X						X			X								X					X							X							
C_WI111_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X																																																				
C_WI114_18											X																											X			X				X		X		X		X		X						X							X			X			X						X						X								X	X				X	X						X							X		X						X				X						X						X			X								X					X														
C_WI118_18											X																											X			X				X		X		X		X		X						X							X			X			X						X														X	X				X	X						X							X		X																									X																											
C_WI121_18											X																											X			X				X		X		X		X								X							X						X						X														X	X				X	X						X							X		X						X				X						X									X								X																			
