Seq_ID	Assigned_cluster
C_IA013_18	7
C_IA018_18	7
C_IA031_18	2
C_IA034_18	2
C_IA039_18	1
C_IA040_18	1
C_IA045_18	2
C_IA048_18	3
C_IA052_18	1
C_IA058_18	2
C_IA059_18	6
C_IA062_18	1
C_IA064_18	1
C_IA068_18	1
C_IA069_18	1
C_IA075_18	1
C_IA076_18	3
C_IA077_18	2
C_IA078_18	2
C_IA082_18	2
C_IA083_18	2
C_IA085_18	3
C_IA086_18	3
C_IA087_18	1
C_IA091_18	1
C_IA092_18	1
C_IA093_18	3
C_IA094_18	1
C_IA102_18	1
C_IA104_18	1
C_IA107_18	1
C_IA110_18	1
C_IA111_18	1
C_IA156_18	4
C_IL004_18	2
C_IL007_18	4
C_IL012_18	2
C_IL013_18	2
C_IL018_18	2
C_IL019_18	1
C_IL020_18	1
C_IL022_18	1
C_IL023_18	1
C_IL024_18	1
C_IL025_18	3
C_IL031_18	2
C_IL032_18	2
C_IL033_18	1
C_IL034_18	2
C_IL036_18	2
C_IL037_18	2
C_IL039_18	2
C_IL040_18	2
C_IL042_18	1
C_IL044_18	2
C_IL046_18	2
C_IL047_18	2
C_IL048_18	1
C_IL049_18	3
C_IL050_18	1
C_IL054_18	1
C_IL055_18	1
C_IL056_18	1
C_IL057_18	4
C_IL058_18	2
C_IL059_18	2
C_IL060_18	2
C_IL062_18	1
C_IL065_18	2
C_IL066_18	2
C_IL067_18	2
C_IL071_18	2
C_IL072_18	1
C_IL074_18	2
C_IL076_18	2
C_IL077_18	1
C_IL079_18	1
C_IL080_18	1
C_IL081_18	2
C_IL082_18	4
C_IL085_18	3
C_IL086_18	2
C_IL087_18	2
C_IL097_18	3
C_IL099_18	3
C_IL113_18	3
C_IL119_18	4
C_IL120_18	2
C_IL126_18	3
C_MO003_18	2
C_OH003_18	1
C_OH006_18	3
C_OH014_18	3
C_WI008_18	7
C_WI011_18	7
C_WI020_18	7
C_WI024_18	7
C_WI026_18	7
C_WI031_18	7
C_WI033_18	7
C_WI036_18	7
C_WI037_18	7
C_WI038_18	7
C_WI039_18	5
C_WI040_18	7
C_WI041_18	5
C_WI092_18	5
C_WI093_18	5
C_WI094_18	7
C_WI095_18	5
C_WI096_18	7
C_WI097_18	7
C_WI098_18	7
C_WI099_18	5
C_WI100_18	5
C_WI101_18	5
C_WI102_18	5
C_WI103_18	7
C_WI107_18	7
C_WI109_18	7
C_WI111_18	7
C_WI114_18	7
C_WI118_18	7
C_WI121_18	7
C_WI122_18	7
C_WI123_18	7
C_WI125_18	7
C_WI128_18	7
C_WI129_18	7
C_WI131_18	7
C_WI133_18	7
C_WI134_18	7
C_WI135_18	5
C_WI138_18	7
C_WI150_18	7
C_WI159_18	7
C_WI172_18	5
C_WI173_18	7
C_WI177_18	7
C_WI178_18	7
C_WI187_18	1
C_WI194_18	1
C_WI197_18	1
C_WI198_18	1
C_WI200_18	3
C_WI208_18	2
S_MN002_18	5
S_MN003_18	5
S_MN015_18	5
S_MN020_18	2
S_MN023_18	1
S_MN024_18	7
S_MN026_18	6
